a,eɪ
DEPART,dɪˈpɑː(r)t
DEPARTED,dɪˈpɑː(r)tɪd
DEPARTMENT,dɪˈpɑː(r)tmənt
DEPARTURES,dɪˈpɑː(r)tʃə(r)z
DEPEND,dɪˈpend
depict,dɪpɪkt
DEPLETED,dɪˈpliːtɪd
DEPLOY,dɪˈplɔɪ
DEPORTEE,ˌdiːpɔː(r)ˈtiː
DEPOSIT,dɪˈpɒzɪt
DEPOSITION,ˌdepəˈzɪʃ(ə)n
DEPOSITOR,dɪˈpɒzɪtə(r)
DEPRECIATE,dɪˈpriːʃieɪt
DEPRESSED,dɪˈprest
DEPRESSING,dɪˈpresɪŋ
DERAIL,diːˈreɪl
DERIVATIVE,dɪˈrɪvətɪv
DERIVE,dɪˈraɪv
descendant,@descendant
DESCRIBE,dɪˈskraɪb
desecrate,desɪkreɪt
DESERTED,dɪˈzɜː(r)tɪd
DESERVE,dɪˈzɜː(r)v
DESIGN,dɪˈzaɪn
DESIGNATED,ˈdezɪɡˌneɪtɪd
designer,dɪzaɪnə(r)
desperate,despərət
DESTABILIZE,diːˈsteɪbəlaɪz
DESTINATION,ˌdestɪˈneɪʃ(ə)n
DESTROY,dɪˈstrɔɪ
detached,dɪtætʃt
DETAIL,ˈdiːteɪl
DETAILED,ˈdiːteɪld
DETAILING,ˈdiːteɪlɪŋ
DETECT,dɪˈtekt
detection,dɪtekʃən
DETER,dɪˈtɜː(r)
DETERIORATE,dɪˈtɪəriəreɪt
DETERMINED,dɪˈtɜː(r)mɪnd
DETERMINING,dɪˈtɜː(r)mɪnɪŋ
DETRACTOR,dɪˈtræktə(r)
DEVALUATION,ˌdiːvæljuˈeɪʃ(ə)n
DEVALUE,diːˈvæljuː
DEVASTATED,ˈdevəˌsteɪtɪd
devastating,devəsteɪtɪŋ
DEVELOP,dɪˈveləp
DEVELOPED,dɪˈveləpt
DEVELOPER,dɪˈveləpə(r)
DEVELOPING,dɪˈveləpɪŋ
DEVELOPMENT,dɪˈveləpmənt
DEVICE,dɪˈvaɪs
devil,devəl
devilish,devəlɪʃ
DEVOTE,dɪˈvəʊt
devoted,dɪ'vəʊtɪd
devour,dɪvaʊə(r)
DIABETES,ˌdaɪəˈbiːtiːz
DIAGNOSE,ˈdaɪəɡnəʊz
dick,dɪk
DID,dɪd
didn’t,@didn’t
DIE,daɪ
died,daɪd
dies,daɪz
dietary,daɪətri
DIFFER,ˈdɪfə(r)
DIFFERENCE,ˈdɪfrəns
different,dɪfrənt
DIFFERENTIATE,ˌdɪfəˈrenʃieɪt
DIFFERING,ˈdɪf(ə)rɪŋ
DIFFICULTY,ˈdɪfɪk(ə)lti
DIG,dɪɡ
DIGEST,daɪˈdʒest
digging,dɪgɪŋ
DIGITIZE,ˈdɪdʒɪtaɪz
DIGNIFIED,ˈdɪɡnɪfaɪd
digs,dɪɡz
dilate,daɪleɪt
DILEMMA,dɪˈlemə
DILUTE,daɪˈluːt
dim,dɪm
DIMINISH,dɪˈmɪnɪʃ
DIMINISHED,dɪˈmɪnɪʃt
DIMMER,ˈdɪmə(r)
dine,daɪn
DINGE,@DINGE
DIODE,ˈdaɪəʊd
DIP,dɪp
DIRECT,dɪˈrekt
directed,dɪˈrɛktɪd
DIRECTOR,dəˈrektə(r)
dirt,dɜː(r)t
DIRTY,ˈdɜː(r)ti
DISABLED,dɪsˈeɪb(ə)ld
DISADVANTAGE,ˌdɪsədˈvɑːntɪdʒ
DISAFFECTED,ˌdɪsəˈfektɪd
DISAGREE,ˌdɪsəˈɡriː
disagreeable,dɪsəgriːəbəl
DISAGREEMENT,ˌdɪsəˈɡriːmənt
DISAPPEAR,ˌdɪsəˈpɪə(r)
disappeared,ˌdɪsəˈpɪəd
DISAPPOINTED,ˌdɪsəˈpɔɪntɪd
DISAPPOINTING,ˌdɪsəˈpɔɪntɪŋ
DISAPPOINTMENT,ˌdɪsəˈpɔɪntmənt
DISASTER,dɪˈzɑːstə(r)
DISBURSE,dɪsˈbɜː(r)s
discharge,dɪstʃɑː(r)dʒ
DISCIPLINE,ˈdɪsəplɪn
DISCIPLINED,ˈdɪsəplɪnd
DISCLOSE,dɪsˈkləʊz
DISCLOSURE,dɪsˈkləʊʒə(r)
DISCONTINUED,ˌdɪskənˈtɪnjuːd
DISCOUNT,ˈdɪsˌkaʊnt
DISCOUNTED,dɪsˈkaʊntɪd
DISCOURAGE,dɪsˈkʌrɪdʒ
DISCOURAGED,dɪsˈkʌrɪdʒd
DISCOURAGING,dɪsˈkʌrɪdʒɪŋ
DISCOVER,dɪˈskʌvə(r)
discreet,dɪskriːt
discrete,dɪskriːt
DISCRIMINATING,dɪˈskrɪmɪˌneɪtɪŋ
DISCUS,ˈdɪskəs
DISCUSS,dɪˈskʌs
DISCUSSANT,@DISCUSSANT
DISCUSSION,dɪˈskʌʃ(ə)n
DISEASE,dɪˈziːz
disguise,dɪsgaɪz
DISILLUSIONED,ˌdɪsɪˈluːʒ(ə)nd
DISLOCATE,ˈdɪsləkeɪt
DISLOCATION,@DISLOCATION
DISLODGE,dɪsˈlɒdʒ
DISMAYED,dɪsˈmeɪd
DISMISS,dɪsˈmɪs
DISMISSAL,dɪsˈmɪs(ə)l
DISPLACE,dɪsˈpleɪs
DISPLAY,dɪˈspleɪ
displease,dɪspliːz
displeased,dɪspliːzd
DISPOSAL,dɪˈspəʊz(ə)l
DISPOSE,dɪˈspəʊz
DISPUTE,dɪˈspjuːt
DISPUTED,dɪˈspjuːtɪd
DISRUPT,dɪsˈrʌpt
DISRUPTION,dɪsˈrʌpʃ(ə)n
dissatisfaction,dɪssætɪsfækʃən
DISSEMINATE,dɪˈsemɪneɪt
DISSENT,dɪˈsent
DISSOLVE,dɪˈzɒlv
DISTANCE,ˈdɪstəns
distinct,dɪstɪŋkt
distinguish,dɪstɪŋgwɪʃ
DISTINGUISHED,dɪˈstɪŋɡwɪʃt
DISTORT,dɪˈstɔː(r)t
DISTORTION,dɪˈstɔː(r)ʃ(ə)n
distracted,dɪstræktɪd
DISTRACTION,dɪˈstrækʃ(ə)n
DISTRESSED,dɪˈstrest
DISTRIBUTE,dɪˈstrɪbjuːt
DISTRIBUTED,dɪˈstrɪbjʊtɪd
DISTRIBUTOR,dɪˈstrɪbjʊtə(r)
DISTRICT,ˈdɪstrɪkt
DISTURBING,dɪˈstɜː(r)bɪŋ
DIVERGE,daɪˈvɜː(r)dʒ
DIVERSIFIED,daɪˈvɜː(r)sɪfaɪd
DIVERSIFY,daɪˈvɜː(r)sɪfaɪ
DIVERT,daɪˈvɜː(r)t
DIVERTING,daɪˈvɜː(r)tɪŋ
DIVEST,daɪˈvest
DIVESTMENT,daɪˈvestmənt
DIVIDE,dɪˈvaɪd
DIVIDED,dɪˈvaɪdɪd
DIVIDEND,ˈdɪvɪdend
divine,dɪvaɪn
DIVISION,dɪˈvɪʒ(ə)n
do,du:
DOCTOR,ˈdɒktə(r)
DOCTRINE,ˈdɒktrɪn
DOCUMENT,ˈdɒkjʊmənt
DOES,dəz
Doesn’t,@Doesn’t
dog,dɒg
dogfighting,ˈdɒɡˌfaɪtɪŋ
dogs,dɒgz
DOING,ˈduːɪŋ
DOLE,dəʊl
DOLLAR,ˈdɒlə(r)
dolores,dəˈlɔrɪs
Domi,@Domi
DOMINATE,ˈdɒmɪneɪt
DOMINO,ˈdɒmɪnəʊ
don’t,don’t
DONATE,dəʊˈneɪt
DONATION,dəʊˈneɪʃ(ə)n
DONE,dʌn
Doom,@Doom
DOOR,dɔː(r)
doorless,ˈdɔːlɪs
doorpost,ˈdɔːˌpəʊst
doors,dɔ:z
DOUBLE,ˈdʌb(ə)l
DOUBT,daʊt
DOWN,daʊn
DOWNGRADE,ˈdaʊnˌɡreɪd
DOWNPLAY,ˌdaʊnˈpleɪ
DOWNTURN,ˈdaʊnˌtɜː(r)n
DOZEN,ˈdʌz(ə)n
DRAFT,drɑːft
DRAG,dræɡ
dragging,drægɪŋ
DRAINED,dreɪnd
DRAW,drɔː
DRAWBACK,ˈdrɔːˌbæk
DRAWING,ˈdrɔːɪŋ
DRAWN,drɔːn
dreadful,dredfʊl
dream,dri:m
dressed,drest
DRESSING,ˈdresɪŋ
DREW,druː
DRIED,draɪd
DRILL,drɪl
DRINK,drɪŋk
drinking,drɪŋkɪŋ
DRIVE,draɪv
DRIVEN,ˈdrɪv(ə)n
DRIVER,ˈdraɪvə(r)
DRIVING,ˈdraɪvɪŋ
DRONE,drəʊn
DROP,drɒp
dropping,ˈdrɑpɪŋ
DROVE,drəʊv
drowned,draʊnd
DRUG,drʌɡ
drumbeats,@drumbeats
DRY,draɪ
DUB,dʌb
dubious,djuːbiəs
DUCK,dʌk
DUE,djuː
dug,dʌg
dull,dʌl
DUMP,dʌmp
DURATION,djʊˈreɪʃ(ə)n
during,djʊərɪŋ
duties,ˈdjuːtɪz
DUTY,ˈdjuːti
dvd,diː
DWARF,dwɔː(r)f
DWELLING,ˈdwelɪŋ
DWINDLE,ˈdwɪnd(ə)l
DYNAMIC,daɪˈnæmɪk
each,i:tʃ
eager,iːgə(r)
ear,ɪə
EARLIER,ˈɜː(r)liə(r)
EARLY,ˈɜː(r)li
EARMARK,ˈɪə(r)ˌmɑː(r)k
EARN,ɜː(r)n
EARNER,ˈɜː(r)nə(r)
earth,ɜ:θ
EARTHQUAKE,ˈɜː(r)θˌkweɪk
EASE,iːz
easily,iːzɪli
easing,ˈiːzɪŋ
eastern,iːstə(r)n
eastwards,ˈiːstwədz
EASY,ˈiːzi
EAT,iːt
EATEN,ˈiːt(ə)n
eating,i:tɪŋ
EATS,iːts
EBB,eb
ECHELON,ˈeʃəlɒn
ECHO,ˈekəʊ
echoes,ˈɛkəʊz
ECLIPSE,ɪˈklɪps
economic,iːkənɒmɪk
ECONOMIST,ɪˈkɒnəmɪst
ECONOMY,ɪˈkɒnəmi
EDGE,edʒ
EDITED,ˈedɪtɪd
EDITOR,ˈedɪtə(r)
EDUCATE,ˈedjʊkeɪt
EDUCATED,ˈedjʊˌkeɪtɪd
EDUCATION,ˌedjʊˈkeɪʃ(ə)n
EFFECT,ɪˈfekt
effective,ɪfektɪv
effectively,ɪfektɪvli
effects,ɪˈfɛkts
EFFICIENCY,ɪˈfɪʃ(ə)nsi
EFFORT,ˈefə(r)t
EGG,eɡ
eggs,ɛgz
eighty,eɪti
either,aɪðə
ELABORATE,ɪˈlæb(ə)rət
elbow,elbəʊ
ELDER,ˈeldə(r)
elderly,eldə(r)li
ELDEST,ˈeldəst
ELECT,ɪˈlekt
elected,ɪˈlɛktɪd
ELECTION,ɪˈlekʃ(ə)n
ELECTOR,ɪˈlektə(r)
electoral,ɪlektərəl
ELECTORATE,ɪˈlekt(ə)rət
electricity,ɪlektrɪsɪti
electron,ɪlektrɒn
electronics,ɪlektrɒnɪks
elegant,elɪgənt
ELEMENT,ˈelɪmənt
ELEVATED,ˈeləˌveɪtɪd
ELEVATOR,ˈeləveɪtə(r)
eligible,elɪdʒɪbəl
ELIMINATE,ɪˈlɪmɪneɪt
ELITE,ɪˈliːt
else,els
elsewhere,elshweə(r)
ELUDE,ɪˈluːd
EMAIL,ˈiːmeɪl
e-mail,ˈiˌmeɪl
EMBARGO,ɪmˈbɑː(r)ɡəʊ
embarrassing,ɪmbærəsɪŋ
embarrassment,ɪmbærəsmənt
EMBODY,ɪmˈbɒdi
EMBOSSED,ɪmˈbɒst
EMBRACE,ɪmˈbreɪs
EMBROILED,ɪmˈbrɔɪld
EMERGE,ɪˈmɜː(r)dʒ
EMERGENCY,ɪˈmɜː(r)dʒ(ə)nsi
EMERGING,ɪˈmɜː(r)dʒɪŋ
EMISSION,ɪˈmɪʃ(ə)n
EMPHASIZE,ˈemfəsaɪz
EMPLOY,ɪmˈplɔɪ
EMPLOYEE,ɪmˈplɔɪiː
EMPLOYER,ɪmˈplɔɪə(r)
emptiness,emptinəs
empty,emptɪ
ENABLING,ɪnˈeɪb(ə)lɪŋ
ENACT,ɪnˈækt
ENAMORED,ɪˈnæmə(r)d
ENCAMPMENT,ɪnˈkæmpmənt
ENCHANTED,ɪnˈtʃɑːntɪd
ENCOMPASS,ɪnˈkʌmpəs
ENCOURAGE,ɪnˈkʌrɪdʒ
encouraged,ɪnˈkʌrɪdʒd
ENCOURAGING,ɪnˈkʌrɪdʒɪŋ
encrusted,ɪnkrʌstɪd
ENCRYPT,ɪnˈkrɪpt
END,end
ENDING,ˈendɪŋ
ENDORSE,ɪnˈdɔː(r)s
ENDORSEMENT,ɪnˈdɔː(r)smənt
ENDOWMENT,ɪnˈdaʊmənt
endowments,ɪnˈdaʊmənts
ends,ɛndz
Ene,@Ene
energy,enə(r)dʒi
engage,ɪngeɪdʒ
ENGAGED,ɪnˈɡeɪdʒd
engagement,ɪn'geɪdʒmənt
ENGAGING,ɪnˈɡeɪdʒɪŋ
ENGINE,ˈendʒɪn
ENGINEER,ˌendʒɪˈnɪə(r)
ENGINEERING,ˌendʒɪˈnɪərɪŋ
England,ɪŋglənd
English,ɪŋglɪʃ
ENHANCE,ɪnˈhɑːns
ENHANCED,ɪnˈhɑːnst
ENJOY,ɪnˈdʒɔɪ
enjoyment,ɪndʒɔɪmənt
ENLISTED,ɪnˈlɪstɪd
enormous,ɪnɔː(r)məs
enough,ɪ'nʌf
enrol,ɪnroʊl
ENROLL,ɪnˈrəʊl
ENROLLMENT,ɪnˈrəʊlmənt
ENSNARE,ɪnˈsneə(r)
ENSURE,ɪnˈʃɔː(r)
ENTAIL,ɪnˈteɪl
ENTANGLE,ɪnˈtæŋɡ(ə)l
entangled,ɪntæŋgəld
ENTER,ˈentə(r)
ENTERPRISE,ˈentə(r)ˌpraɪz
entertain,entə(r)teɪn
enthusiasm,ɪnθjuːziæzəm
ENTICING,ɪnˈtaɪsɪŋ
entire,ɪntaɪə(r)
entirely,ɪntaɪə(r)li
ENTITLED,ɪnˈtaɪt(ə)ld
ENTITY,ˈentəti
entrance,entrəns
ENTREPRENEUR,ˌɒntrəprəˈnɜː(r)
ENTRUST,ɪnˈtrʌst
enumerate,ɪnjuːməreɪt
enunciate,ɪnʌnsieɪt
ENVELOPE,ˈenvələʊp
environment,ɪnvaɪərənmənt
ep,iː
epitome,ɪpɪtəmi
equal,iːkwəl
equally,iːkwəli
EQUATE,ɪˈkweɪt
equipment,ɪkwɪpmənt
equities,ekwɪtiz
EQUITY,ˈekwəti
equivalent,ɪkwɪvələnt
ERA,ˈɪərə
ERASE,ɪˈreɪz
ERODE,ɪˈrəʊd
erosion,ɪroʊʒən
ERROR,ˈerə(r)
ERUPT,ɪˈrʌpt
ESCALATE,ˈeskəleɪt
escalating,ˈɛskəˌleɪtɪŋ
escape,ɪskeɪp
especially,ɪspeʃəli
essentially,ɪsenʃəli
est,ɛst
ESTABLISH,ɪˈstæblɪʃ
ESTABLISHED,ɪˈstæblɪʃt
ESTABLISHMENT,ɪˈstæblɪʃmənt
ESTATE,ɪˈsteɪt
ESTEEMED,ɪˈstiːmd
ESTIMATE,ˈestɪmeɪt
eurobond,jʊəroʊbɒnd
Europe,@'jʊərəp
EUROPEAN,ˌjʊərəˈpiːən
EVALUATE,ɪˈvæljueɪt
EVALUATION,ɪˌvæljuˈeɪʃ(ə)n
EVAPORATE,ɪˈvæpəreɪt
even,i:vən
EVENING,ˈiːvnɪŋ
evenings,ˈiːvnɪŋz
EVENT,ɪˈvent
EVENTUALITY,ɪˌventʃuˈæləti
ever,evə
every,evrɪ
everything,evrɪθɪŋ
everywhere,evrihweə(r)
EVOLVE,ɪˈvɒlv
EXACERBATE,ɪɡˈzæsə(r)beɪt
exactly,ɪgzæktli
EXAMINATION,ɪɡˌzæmɪˈneɪʃ(ə)n
EXAMINE,ɪɡˈzæmɪn
EXAMINER,ɪɡˈzæmɪnə(r)
EXAMPLE,ɪɡˈzɑːmp(ə)l
exasperated,ɪgzɑːspəreɪtɪd
EXCEED,ɪkˈsiːd
excellent,eksələnt
except,ɪk'sept
EXCEPTION,ɪkˈsepʃ(ə)n
EXCESS,ɪkˈses
EXCHANGE,ɪksˈtʃeɪndʒ
EXCITED,ɪkˈsaɪtɪd
excitement,ɪksaɪtmənt
EXCLUDE,ɪkˈskluːd
EXCLUDING,ɪkˈskluːdɪŋ
EXCLUSION,ɪkˈskluːʒ(ə)n
EXECUTE,ˈeksɪˌkjuːt
EXECUTION,ˌeksɪˈkjuːʃ(ə)n
EXECUTIVE,ɪɡˈzekjʊtɪv
EXEMPT,ɪɡˈzempt
EXEMPTION,ɪɡˈzempʃ(ə)n
EXERCISE,ˈeksə(r)saɪz
EXHIBIT,ɪɡˈzɪbɪt
EXIST,ɪɡˈzɪst
EXISTING,ɪɡˈzɪstɪŋ
EXIT,ˈeksɪt
EXOSKELETON,ˈeksəʊˌskelɪt(ə)n
EXPAND,ɪkˈspænd
EXPANSION,ɪkˈspænʃ(ə)n
EXPANSIONIST,ɪkˈspænʃ(ə)nɪst
EXPECT,ɪkˈspekt
EXPECTATION,ˌekspekˈteɪʃ(ə)n
EXPECTED,ɪkˈspektɪd
EXPENDITURE,ɪkˈspendɪtʃə(r)
EXPENSE,ɪkˈspens
EXPERIENCE,ɪkˈspɪəriəns
EXPERIENCED,ɪkˈspɪəriənst
EXPERIMENT,ɪkˈsperɪmənt
EXPERT,ˈekspɜː(r)t
EXPIRE,ɪkˈspaɪə(r)
EXPLAIN,ɪkˈspleɪn
explained,ɪk'spleɪnd
EXPLODE,ɪkˈspləʊd
EXPLODED,ɪkˈspləʊdɪd
EXPLOIT,ɪkˈsplɔɪt
explosion,ɪk'spləʊʒən
EXPORT,ˈekspɔː(r)t
EXPORTER,ɪkˈspɔː(r)tə(r)
EXPOSE,ɪkˈspəʊz
EXPOSED,ɪkˈspəʊzd
EXPRESS,ɪkˈspres
EXPRESSION,ɪkˈspreʃ(ə)n
exquisite,ɪkskwɪzɪt
EXTEND,ɪkˈstend
EXTENDED,ɪkˈstendɪd
EXTENSION,ɪkˈstenʃ(ə)n
EXTRACT,ɪkˈstrækt
EXTRADITE,ˈekstrədaɪt
EYE,aɪ
eyes,aɪz
FABRIC,ˈfæbrɪk
face,feɪs
FACED,feɪst
FACILITATE,fəˈsɪləteɪt
FACILITY,fəˈsɪləti
FACING,ˈfeɪsɪŋ
fact,fækt
FACTION,ˈfækʃ(ə)n
FACTOR,ˈfæktə(r)
FACTORY,ˈfæktri
FADE,feɪd
faded,ˈfeɪdɪd
fading,ˈfeɪdɪŋ
FAIL,feɪl
FAILED,feɪld
FAILING,ˈfeɪlɪŋ
failure,feɪljə(r)
faint,feɪnt
fair,feə(r)
fairly,feəlɪ
FALL,fɔːl
FALLEN,ˈfɔːlən
FALSIFY,ˈfɔːlsɪfaɪ
FALTER,ˈfɔːltə(r)
FALTERING,ˈfɔːlt(ə)rɪŋ
FAMED,feɪmd
familiar,fə'mɪlɪə
FAMILY,ˈfæm(ə)li
famous,feɪməs
FAN,fæn
far,fɑ:
FARE,feə(r)
farewell,feə(r)wel
FARM,fɑː(r)m
FARMER,ˈfɑː(r)mə(r)
FAST,fɑːst
fat,fæt
fate,feɪt
father,fɑ:ðə
FAULT,fɔːlt
FAVOR,ˈfeɪvə(r)
FAVORED,ˈfeɪvə(r)d
FAX,fæks
FEAR,fɪə(r)
FEATHER,ˈfeðə(r)
feathers,ˈfɛðəz
FEATURE,ˈfiːtʃə(r)
FED,fed
FEE,fiː
feeble,fiːbəl
FEED,fiːd
FEEL,fiːl
FEELING,ˈfiːlɪŋ
FEET,fiːt
FEIGN,feɪn
FELL,fel
FELT,felt
FENCING,ˈfensɪŋ
FEND,fend
ferocity,fərɒsɪti
festive,festɪv
FETCH,fetʃ
FETCHING,ˈfetʃɪŋ
FEW,fjuː
fiancé,@fiancé
FIELD,fiːld
FIGHT,faɪt
FIGHTING,ˈfaɪtɪŋ
FIGURE,ˈfɪɡə(r)
FILE,faɪl
FILINGS,ˈfaɪlɪŋz
FILL,fɪl
filled,fɪld
FILLING,ˈfɪlɪŋ
FILM,fɪlm
FILMMAKER,@FILMMAKER
FILTER,ˈfɪltə(r)
filthy,fɪlθi
finally,faɪnəlɪ
FINANCE,ˈfaɪnæns
FINANCIER,faɪˈnænsiə(r)
FINANCING,faɪ'nænsɪŋ
FIND,faɪnd
FINDINGS,ˈfaɪndɪŋz
FINE,faɪn
FINESSE,fɪˈnes
finger,fɪŋgə
fingernail,fɪŋgə(r)neɪl
FINGERPRINT,ˈfɪŋɡə(r)ˌprɪnt
fingers,fɪŋgəz
FINIS,@FINIS
FINISH,ˈfɪnɪʃ
FINISHED,ˈfɪnɪʃt
FIRE,ˈfaɪə(r)
-fired,-faɪe(r)d
firelight,faɪə(r)laɪt
fireplace,faɪəpleɪs
fires,faɪəz
FIRING,faɪərɪŋ
FIRM,fɜː(r)m
First,fɜ:st
firstly,fɜː(r)stli
FISH,fɪʃ
FISHING,ˈfɪʃɪŋ
fist,fɪst
FIT,ˌef aɪ ˈtiː
FITTING,ˈfɪtɪŋ
five,faɪv
FIX,fɪks
FIXED,fɪkst
FLAG,flæɡ
FLAGGED,flæɡd
FLAGGING,ˈflæɡɪŋ
flash,flæʃ
flat,flæt
FLATTEN,ˈflæt(ə)n
FLATTENED,ˈflæt(ə)nd
FLATTER,ˈflætə(r)
FLAVOR,ˈfleɪvə(r)
FLAW,flɔː
FLED,fled
FLEE,fliː
FLEET,fliːt
FLEW,fluː
flick,flɪk
flicker,flɪkə(r)
FLIER,ˈflaɪə(r)
FLIES,flaɪz
FLIGHT,flaɪt
fling,flɪŋ
FLIRT,flɜː(r)t
FLOATER,ˈfləʊtə(r)
FLOATING,ˈfləʊtɪŋ
FLOCK,flɒk
FLOODED,ˈflʌdɪd
FLOOR,flɔː(r)
FLOP,flɒp
FLOUNDER,ˈflaʊndə(r)
FLOURISH,ˈflʌrɪʃ
FLOW,fləʊ
flower,flaʊə(r)
FLOWING,ˈfləʊɪŋ
FLOWN,fləʊn
FLUCTUATE,ˈflʌktʃueɪt
FLUCTUATION,ˌflʌktʃuˈeɪʃ(ə)n
FLUNK,flʌŋk
fly,flaɪ
FLYING,ˈflaɪɪŋ
FOCUS,ˈfəʊkəs
FOCUSED,ˈfəʊkəst
fold,foʊld
folding,ˈfəʊldɪŋˈfəʊldɪŋ
FOLK,fəʊk
FOLLOW,ˈfɒləʊ
followed,fɒləʊd
FOLLOWING,ˈfɒləʊɪŋ
food,fu:d
FOOL,fuːl
foot,fʊt
FOOTING,ˈfʊtɪŋ
footstep,fʊtstep
for,fɔ:
FORAY,ˈfɒreɪ
FORCE,fɔː(r)s
FORCED,fɔː(r)st
forcing,fɔ:sɪŋ
FORECAST,ˈfɔː(r)kɑːst
FORECASTER,ˈfɔː(r)ˌkɑːstə(r)
FORECLOSE,fɔː(r)ˈkləʊz
FORECLOSURE,@FORECLOSURE
forehead,fɒrɪd
foreign,fɒrən
FOREIGNER,ˈfɒrɪnə(r)
foresight,fɔː(r)saɪt
FORGE,fɔː(r)dʒ
forget,fə(r)get
FORGIVE,fə(r)ˈɡɪv
forgotten,fə'gɒtən
FORM,fɔː(r)m
FORMATION,fɔː(r)ˈmeɪʃ(ə)n
forth,fɔː(r)θ
FORTUNE,ˈfɔː(r)tʃən
forty,fɔː(r)ti
FORUM,ˈfɔːrəm
FORWARD,ˈfɔː(r)wə(r)d
FORWARDS,ˈfɔː(r)wə(r)dz
FOSTER,ˈfɒstə(r)
FOUGHT,fɔːt
FOUND,faʊnd
Four,fɔ:
fourth,fɔː(r)θ
foxy,fɒksi
fraction,frækʃən
FRAGMENT,ˈfræɡmənt
FRANC,fræŋk
FRAY,freɪ
FREAK,friːk
FREE,friː
FREEWHEELING,ˈfriːwiːlɪŋ
french,frentʃ
FREQUENCY,ˈfriːkwənsi
fresh,freʃ
FRET,fret
FRICTION,ˈfrɪkʃ(ə)n
fridge,frɪdʒ
friend,frend
FRINGE,frɪndʒ
from,frɒm
FRONT,frʌnt
FROSTED,ˈfrɒstɪd
frown,fraʊn
frowning,ˈfraʊnɪŋ
FROZE,frəʊz
FROZEN,ˈfrəʊz(ə)n
FRUSTRATED,frʌˈstreɪtɪd
FUEL,ˈfjuːəl
FUELED,ˈfjuːəld
FUELING,ˈfjuːəlɪŋ
full,fʊl
full-size,ˌfʊlˈsaɪzˈfʊlˈsaɪz
fumble,fʌmbəl
FUNCTION,ˈfʌŋkʃ(ə)n
FUNCTIONING,ˈfʌŋkʃənɪŋ
FUND,fʌnd
FUNDAMENTALIST,ˌfʌndəˈment(ə)lɪst
FUNDAMENTALS,ˌfʌndəˈment(ə)lz
FUNDING,ˈfʌndɪŋ
Funny,fʌnɪ
furious,fjʊəriəs
furnished,fɜː(r)nɪʃt
FURTHER,ˈfɜː(r)ðə(r)
fury,fjʊərɪ
FUTURE,ˈfjuːtʃə(r)
gag,gæg
GAIN,ɡeɪn
gallows,gæloʊz
GAMBLING,ˈɡæmblɪŋ
GAME,ɡeɪm
GAMING,ˈɡeɪmɪŋ
GAP,ɡæp
garbage,gɑː(r)bɪdʒ
GARNER,ˈɡɑː(r)nə(r)
Gary,gærɪ
GAS,ɡæs
gash,gæʃ
gasped,gɑ:spt
GATE,ɡeɪt
Gates,geɪts
GATHER,ˈɡæðə(r)
GATHERING,ˈɡæðərɪŋ
GAUGE,ɡeɪdʒ
gaunt,gɔːnt
GAVE,ɡeɪv
gavotte,@gavotte
GAY,ɡeɪ
gaze,geɪz
GEAR,ɡɪə(r)
GEARING,ˈɡɪərɪŋ
GEL,dʒel
general,dʒenrəl
generally,dʒenrəli
GENERATE,ˈdʒenəreɪt
GENERATION,ˌdʒenəˈreɪʃ(ə)n
GENERATOR,ˈdʒenəˌreɪtə(r)
GENERIC,dʒəˈnerɪk
gentleman,dʒentəlmən
gentlemen,ˈdʒɛntəlmənz
gently,dʒentlɪ
Genya,@Genya
GEOGRAPHY,dʒiːˈɒɡrəfi
GERMAN,ˈdʒɜː(r)mən
Germany,dʒɜ:mənɪ
GET,ɡet
getting,getɪŋ
ghanaian,gɑːneɪən
ghastly,gɑːstli
GIANT,ˈdʒaɪənt
GIFT,ɡɪft
GIFTED,ˈɡɪftɪd
GILT,ɡɪlt
GIRL,ɡɜː(r)l
girlie,@girlie
GIVE,ɡɪv
GIVEN,ˈɡɪv(ə)n
glance,glɑ:ns
glanced,glɑ:nst
glare,gleə(r)
GLARING,ˈɡleərɪŋ
glass,glɑ:s
glazing,ˈɡleɪzɪŋ
glisten,glɪsən
glorious,glɔ:rɪəs
gloved,glʌvd
GLOWING,ˈɡləʊɪŋ
GLUT,ɡlʌt
GO,ɡəʊ
GOAL,ɡəʊl
God,gɒd
gods,ɡɒdz
goes,gəʊz
GOING,ˈɡəʊɪŋ
golden,goʊldən
GONE,ɡɒn
Good,gʊd
goodbye,gʊdbaɪ
goodness,gʊdnəs
GOODS,ɡʊdz
Gordon,gɔ:dn
GOT,ɡɒt
GOTTEN,ˈɡɒt(ə)n
gourmet,gʊə(r)meɪ
GOVERN,ˈɡʌvə(r)n
GOVERNING,ˈɡʌvə(r)nɪŋ
GOVERNMENT,ˈɡʌvə(r)nmənt
GOVERNOR,ˈɡʌvə(r)nə(r)
GRAB,ɡræb
grabbed,græbd
GRACE,ɡreɪs
GRADE,ɡreɪd
GRADED,ˈɡreɪdɪd
graduate,grædʒuət
GRAIN,ɡreɪn
GRAM,ɡræm
GRANDCHILD,ˈɡræn(d)ˌtʃaɪld
grandfather,grændfɑːðə(r)
GRANT,ɡrɑːnt
GRANTED,ˈɡrɑːntɪd
GRAPPLE,ˈɡræp(ə)l
grasp,grɑːsp
grasped,grɑ:spt
grasping,grɑːspɪŋ
grate,greɪt
GRAVE,ɡreɪv
graveyard,greɪvjɑː(r)d
GREAT,ɡreɪt
